epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,371.188,1.90725,2.96999,2.29632,0.61577,0.5664,0.59989,0.38668,1.31368,1.38333,1.96604,0.0033315,0.0033315,0.0033315
2,729.367,1.54602,1.64529,2.03033,0.65549,0.65052,0.67793,0.44218,1.28629,1.19999,1.90647,0.00660985,0.00660985,0.00660985
3,1079.02,1.5463,1.6074,2.04299,0.61578,0.61471,0.65333,0.41818,1.31799,1.27335,1.93692,0.0098332,0.0098332,0.0098332
4,1428.74,1.57462,1.64091,2.07844,0.63253,0.62871,0.66873,0.431,1.30338,1.2581,1.94245,0.0097525,0.0097525,0.0097525
5,1775.53,1.51388,1.53099,2.03684,0.69362,0.68238,0.73696,0.48915,1.2292,1.09405,1.87718,0.00967,0.00967,0.00967
6,2122.27,1.47851,1.45383,1.99978,0.71564,0.69189,0.75439,0.5118,1.16478,1.05101,1.86294,0.0095875,0.0095875,0.0095875
7,2468.47,1.44657,1.39968,1.9774,0.70162,0.70199,0.75777,0.51786,1.159,1.03758,1.81713,0.009505,0.009505,0.009505
8,2814.93,1.42396,1.35081,1.95983,0.73626,0.6959,0.76453,0.5263,1.13456,1.01158,1.85869,0.0094225,0.0094225,0.0094225
9,3161.82,1.40485,1.32017,1.94098,0.73799,0.70694,0.77091,0.53437,1.11296,1.0023,1.81486,0.00934,0.00934,0.00934
10,3508.39,1.39002,1.29087,1.93046,0.73869,0.69883,0.77385,0.54339,1.10259,0.99394,1.79854,0.0092575,0.0092575,0.0092575
11,3855.9,1.37113,1.25938,1.91016,0.72019,0.72786,0.78024,0.55105,1.0813,0.9786,1.79385,0.009175,0.009175,0.009175
12,4202.92,1.35553,1.23359,1.89678,0.77075,0.69547,0.78017,0.55244,1.0736,0.9721,1.78083,0.0090925,0.0090925,0.0090925
13,4549.27,1.34705,1.21239,1.89621,0.74791,0.70951,0.77848,0.55253,1.06514,0.976,1.78314,0.00901,0.00901,0.00901
14,4896.05,1.32616,1.18647,1.87195,0.73875,0.71686,0.77558,0.55216,1.06591,0.97414,1.78061,0.0089275,0.0089275,0.0089275
15,5242.5,1.31597,1.16429,1.86498,0.75243,0.71709,0.7788,0.55777,1.05024,0.96775,1.77286,0.008845,0.008845,0.008845
16,5588.82,1.31432,1.1514,1.86577,0.75195,0.70969,0.78203,0.5599,1.04375,0.96148,1.7741,0.0087625,0.0087625,0.0087625
17,5935.2,1.30378,1.13321,1.85507,0.74777,0.71175,0.77985,0.55975,1.04034,0.96304,1.77391,0.00868,0.00868,0.00868
18,6281.78,1.29187,1.11521,1.83749,0.75036,0.71387,0.77925,0.56028,1.03789,0.96212,1.77279,0.0085975,0.0085975,0.0085975
19,6628.24,1.28683,1.10827,1.83969,0.74467,0.7199,0.77916,0.56236,1.03496,0.96164,1.77411,0.008515,0.008515,0.008515
20,6974.88,1.27836,1.08968,1.82717,0.74662,0.71908,0.77942,0.56235,1.03462,0.96059,1.77672,0.0084325,0.0084325,0.0084325
21,7321.66,1.27077,1.07668,1.82607,0.74029,0.72451,0.77891,0.56214,1.03384,0.95933,1.77885,0.00835,0.00835,0.00835
22,7668.64,1.25983,1.06297,1.81547,0.73168,0.73326,0.77744,0.56215,1.03197,0.96024,1.77904,0.0082675,0.0082675,0.0082675
23,8015.42,1.25517,1.05022,1.81171,0.72688,0.73491,0.77774,0.56199,1.03067,0.96155,1.77919,0.008185,0.008185,0.008185
24,8361.45,1.24393,1.04076,1.80328,0.73134,0.73322,0.77748,0.56251,1.03039,0.96286,1.78109,0.0081025,0.0081025,0.0081025
25,8706.21,1.24004,1.02725,1.79915,0.73033,0.7354,0.77763,0.56322,1.02893,0.96252,1.78074,0.00802,0.00802,0.00802
26,9050.51,1.23424,1.02249,1.78864,0.73753,0.73045,0.77827,0.56398,1.0281,0.96252,1.78077,0.0079375,0.0079375,0.0079375
27,9394.63,1.23103,1.01561,1.78771,0.73768,0.7312,0.77729,0.56285,1.02701,0.96318,1.77939,0.007855,0.007855,0.007855
28,9739.59,1.22213,1.00117,1.78176,0.73707,0.7278,0.77604,0.56274,1.02637,0.96422,1.7792,0.0077725,0.0077725,0.0077725
29,10085.7,1.21692,0.99008,1.77731,0.74723,0.71482,0.77598,0.56338,1.02556,0.96369,1.77894,0.00769,0.00769,0.00769
30,10432,1.20631,0.98069,1.7681,0.75235,0.71031,0.77532,0.56444,1.02501,0.96338,1.77945,0.0076075,0.0076075,0.0076075
31,10778.5,1.2066,0.98203,1.76404,0.7601,0.70165,0.77429,0.56488,1.02474,0.96359,1.78031,0.007525,0.007525,0.007525
32,11125.4,1.20021,0.96846,1.75872,0.76683,0.70321,0.77578,0.56618,1.02318,0.96478,1.77879,0.0074425,0.0074425,0.0074425
33,11471.5,1.19381,0.9596,1.75527,0.76216,0.70478,0.77523,0.56594,1.02187,0.96648,1.77863,0.00736,0.00736,0.00736
34,11818.9,1.19081,0.95276,1.75307,0.7587,0.70483,0.77529,0.56642,1.02153,0.96704,1.77929,0.0072775,0.0072775,0.0072775
35,12165.8,1.1857,0.94522,1.75118,0.75358,0.70733,0.77506,0.56687,1.02197,0.96885,1.77916,0.007195,0.007195,0.007195
36,12512.4,1.17787,0.93536,1.73856,0.74984,0.7118,0.77485,0.56673,1.02207,0.97072,1.77906,0.0071125,0.0071125,0.0071125
37,12858.8,1.17587,0.93472,1.74098,0.75774,0.70512,0.77505,0.56636,1.02209,0.97302,1.77855,0.00703,0.00703,0.00703
38,13205.6,1.16874,0.92397,1.73163,0.75866,0.70626,0.77528,0.56679,1.02173,0.97386,1.77674,0.0069475,0.0069475,0.0069475
39,13553,1.16345,0.92014,1.7328,0.75802,0.70703,0.77331,0.56606,1.0222,0.97621,1.77549,0.006865,0.006865,0.006865
40,13900.1,1.16096,0.91246,1.72008,0.76016,0.70734,0.77261,0.5656,1.02301,0.97893,1.77456,0.0067825,0.0067825,0.0067825
41,14246.6,1.15341,0.91073,1.71913,0.76139,0.70532,0.77238,0.56556,1.02269,0.98142,1.77399,0.0067,0.0067,0.0067
42,14593,1.15408,0.90217,1.71548,0.76233,0.70351,0.77239,0.56521,1.0226,0.98514,1.77326,0.0066175,0.0066175,0.0066175
43,14939.8,1.14531,0.8956,1.72053,0.77209,0.69473,0.7725,0.56502,1.02313,0.98658,1.77422,0.006535,0.006535,0.006535
44,15285.7,1.14591,0.89386,1.71736,0.76916,0.69971,0.77231,0.56451,1.02287,0.98894,1.77471,0.0064525,0.0064525,0.0064525
45,15632.1,1.1356,0.88461,1.70605,0.77282,0.69391,0.7718,0.56461,1.02193,0.98969,1.77488,0.00637,0.00637,0.00637
46,15979,1.13362,0.88137,1.70131,0.77301,0.69257,0.77108,0.5644,1.02204,0.99072,1.77424,0.0062875,0.0062875,0.0062875
47,16325.1,1.1316,0.87896,1.69527,0.77101,0.69263,0.77012,0.56427,1.02222,0.99233,1.77436,0.006205,0.006205,0.006205
48,16671.3,1.12828,0.87265,1.69621,0.77292,0.69031,0.77015,0.56444,1.02249,0.99491,1.77483,0.0061225,0.0061225,0.0061225
49,17016.9,1.12411,0.86683,1.6933,0.76413,0.69372,0.76847,0.56384,1.02219,0.99718,1.77576,0.00604,0.00604,0.00604
50,17363.2,1.11736,0.86169,1.68492,0.7634,0.69253,0.76692,0.56361,1.0217,0.99887,1.77659,0.0059575,0.0059575,0.0059575
51,17709.1,1.11536,0.85685,1.68649,0.76203,0.69251,0.76574,0.56281,1.0215,1.0019,1.77704,0.005875,0.005875,0.005875
52,18054.9,1.11093,0.85189,1.68309,0.76817,0.68856,0.76539,0.56276,1.02194,1.00527,1.77807,0.0057925,0.0057925,0.0057925
53,18400.5,1.10194,0.8447,1.67778,0.77284,0.68475,0.76459,0.56327,1.02124,1.00749,1.77755,0.00571,0.00571,0.00571
54,18747.5,1.09751,0.84378,1.67024,0.77048,0.68184,0.76294,0.56189,1.02085,1.01056,1.77854,0.0056275,0.0056275,0.0056275
55,19093,1.09698,0.83696,1.6707,0.77704,0.67971,0.76239,0.56187,1.01997,1.01407,1.77865,0.005545,0.005545,0.005545
56,48169.5,1.0903,0.83092,1.66456,0.77569,0.67882,0.76141,0.56146,1.01963,1.01771,1.77944,0.0054625,0.0054625,0.0054625
57,48525.2,1.08993,0.82916,1.66722,0.77447,0.67927,0.76041,0.56017,1.01978,1.02084,1.78049,0.00538,0.00538,0.00538
58,48880.4,1.08305,0.8189,1.66017,0.77916,0.67839,0.76061,0.55978,1.02023,1.02382,1.78094,0.0052975,0.0052975,0.0052975
59,49233.8,1.08339,0.81843,1.66175,0.78174,0.67403,0.75949,0.55879,1.02228,1.02786,1.78306,0.005215,0.005215,0.005215
60,49590.9,1.07841,0.81114,1.64809,0.77883,0.67702,0.75977,0.55924,1.0231,1.03276,1.78521,0.0051325,0.0051325,0.0051325
61,49956.9,1.07046,0.80774,1.64871,0.77126,0.68744,0.75964,0.5588,1.02271,1.03539,1.78568,0.00505,0.00505,0.00505
62,50326.5,1.06787,0.80326,1.6452,0.77271,0.68321,0.75868,0.55867,1.02214,1.0352,1.78603,0.0049675,0.0049675,0.0049675
63,50689.9,1.06152,0.79467,1.63782,0.76781,0.6874,0.75826,0.55771,1.02175,1.0388,1.7886,0.004885,0.004885,0.004885
64,51051.3,1.05794,0.78809,1.63471,0.76771,0.68524,0.75804,0.55774,1.02264,1.04196,1.7903,0.0048025,0.0048025,0.0048025
65,51412.4,1.05396,0.78773,1.63471,0.77072,0.68156,0.75795,0.55812,1.02249,1.04389,1.78868,0.00472,0.00472,0.00472
66,51766.5,1.05375,0.78578,1.62565,0.77028,0.68007,0.75691,0.55731,1.02244,1.04494,1.79013,0.0046375,0.0046375,0.0046375
67,52115.3,1.04768,0.77852,1.62985,0.77454,0.68025,0.75714,0.55715,1.02161,1.04327,1.79099,0.004555,0.004555,0.004555
68,52474.7,1.04159,0.77534,1.6213,0.77215,0.6829,0.75701,0.55653,1.02006,1.0451,1.78889,0.0044725,0.0044725,0.0044725
69,52841.5,1.04147,0.77209,1.61722,0.76854,0.68331,0.75577,0.55636,1.02034,1.04726,1.78938,0.00439,0.00439,0.00439
70,53235.4,1.03422,0.76476,1.61118,0.76986,0.68167,0.7557,0.55708,1.021,1.0514,1.79081,0.0043075,0.0043075,0.0043075
71,53612.5,1.03466,0.76518,1.61652,0.77482,0.67927,0.75483,0.55645,1.02165,1.05522,1.7912,0.004225,0.004225,0.004225
72,53981.2,1.02416,0.75798,1.60608,0.77616,0.6779,0.75422,0.55641,1.0217,1.05877,1.78968,0.0041425,0.0041425,0.0041425
73,54346.6,1.02554,0.7583,1.60462,0.77467,0.67746,0.75291,0.55617,1.02218,1.06383,1.78826,0.00406,0.00406,0.00406
74,54712.8,1.01808,0.7464,1.59904,0.77184,0.68017,0.75279,0.55529,1.02194,1.0667,1.78769,0.0039775,0.0039775,0.0039775
75,55077.1,1.01356,0.74459,1.59217,0.75901,0.68485,0.75237,0.55548,1.02301,1.07033,1.79112,0.003895,0.003895,0.003895
76,55442.9,1.00968,0.73803,1.58969,0.75545,0.68522,0.75027,0.55436,1.02348,1.07505,1.78953,0.0038125,0.0038125,0.0038125
77,55808.1,1.0042,0.73463,1.58721,0.75637,0.68533,0.74836,0.55318,1.02349,1.07806,1.78845,0.00373,0.00373,0.00373
78,56168.2,1.00459,0.73439,1.59366,0.76308,0.67893,0.74759,0.55256,1.02279,1.08061,1.78926,0.0036475,0.0036475,0.0036475
79,56530.8,0.99674,0.7255,1.57763,0.75699,0.67983,0.7459,0.55264,1.02198,1.08326,1.78958,0.003565,0.003565,0.003565
80,56888.6,0.98659,0.71538,1.57397,0.75252,0.68393,0.74584,0.55213,1.02062,1.08616,1.78829,0.0034825,0.0034825,0.0034825
81,57244.3,0.986,0.7144,1.57313,0.75291,0.68053,0.74442,0.55145,1.01982,1.08955,1.78757,0.0034,0.0034,0.0034
82,57600.3,0.98316,0.71239,1.56853,0.75073,0.68115,0.74393,0.55156,1.0199,1.09279,1.78697,0.0033175,0.0033175,0.0033175
83,57955.6,0.97911,0.70538,1.56547,0.75064,0.68308,0.74347,0.55115,1.02027,1.09654,1.7885,0.003235,0.003235,0.003235
84,58308.8,0.97347,0.70099,1.55869,0.75623,0.67525,0.74276,0.55088,1.01886,1.09934,1.78807,0.0031525,0.0031525,0.0031525
85,58662.7,0.96709,0.69569,1.55755,0.74653,0.68233,0.74216,0.55016,1.01862,1.10203,1.78823,0.00307,0.00307,0.00307
86,59016.7,0.96696,0.69585,1.55762,0.75048,0.68322,0.74143,0.55043,1.01788,1.10198,1.78743,0.0029875,0.0029875,0.0029875
87,59370.7,0.95945,0.68713,1.54312,0.74736,0.68313,0.74188,0.55079,1.01795,1.10199,1.78904,0.002905,0.002905,0.002905
88,59722.5,0.95679,0.68552,1.54605,0.75299,0.67815,0.74209,0.5512,1.0177,1.10339,1.7895,0.0028225,0.0028225,0.0028225
89,60085.9,0.94867,0.67809,1.53707,0.75445,0.67951,0.74168,0.55089,1.01912,1.10778,1.79125,0.00274,0.00274,0.00274
90,60438.1,0.94493,0.67424,1.53457,0.74855,0.68071,0.74154,0.55149,1.02021,1.11164,1.7923,0.0026575,0.0026575,0.0026575
91,60807.6,0.94013,0.667,1.52868,0.75518,0.67635,0.74068,0.55094,1.02112,1.11332,1.79343,0.002575,0.002575,0.002575
92,61170.9,0.93616,0.66386,1.52433,0.75454,0.67759,0.74071,0.55122,1.02193,1.11528,1.79533,0.0024925,0.0024925,0.0024925
93,61534.3,0.92636,0.65776,1.51306,0.75029,0.68112,0.73988,0.55021,1.02193,1.11733,1.79532,0.00241,0.00241,0.00241
94,61898,0.92341,0.65245,1.51431,0.74469,0.68343,0.73985,0.55028,1.02235,1.11986,1.7967,0.0023275,0.0023275,0.0023275
95,62263.2,0.92197,0.65063,1.51792,0.73797,0.68252,0.73867,0.55008,1.02217,1.12417,1.79582,0.002245,0.002245,0.002245
96,62625.4,0.91373,0.64487,1.50493,0.76314,0.66477,0.73779,0.54944,1.02152,1.12512,1.7948,0.0021625,0.0021625,0.0021625
97,62979,0.90617,0.63639,1.50142,0.77428,0.65935,0.73813,0.54986,1.02225,1.12733,1.79507,0.00208,0.00208,0.00208
98,63337.9,0.90086,0.63326,1.50152,0.77835,0.65701,0.73732,0.54948,1.02328,1.1294,1.79589,0.0019975,0.0019975,0.0019975
99,63692.8,0.90124,0.6339,1.4897,0.77882,0.65642,0.73733,0.54962,1.02355,1.13264,1.79614,0.001915,0.001915,0.001915
100,64047.1,0.89041,0.6255,1.48714,0.77737,0.65711,0.73534,0.54851,1.02375,1.13615,1.79651,0.0018325,0.0018325,0.0018325
101,64403,0.88398,0.61742,1.48809,0.76718,0.65833,0.73536,0.54817,1.02416,1.14053,1.79822,0.00175,0.00175,0.00175
102,64750.8,0.87736,0.61295,1.47833,0.76085,0.66346,0.73525,0.54799,1.02411,1.14466,1.79806,0.0016675,0.0016675,0.0016675
103,65097.6,0.87275,0.60879,1.47584,0.76127,0.66629,0.73496,0.54792,1.02516,1.14902,1.79954,0.001585,0.001585,0.001585
104,65444.6,0.86727,0.60304,1.47045,0.75797,0.66905,0.73495,0.54797,1.0246,1.15182,1.79977,0.0015025,0.0015025,0.0015025
105,65791.7,0.85923,0.59646,1.46519,0.76146,0.66793,0.73558,0.54774,1.02431,1.15476,1.79908,0.00142,0.00142,0.00142
106,66139.8,0.85622,0.59477,1.46145,0.75791,0.66757,0.73475,0.54717,1.0258,1.15755,1.80082,0.0013375,0.0013375,0.0013375
107,66488.1,0.84786,0.58737,1.45582,0.75812,0.66617,0.73477,0.54738,1.02698,1.16212,1.80156,0.001255,0.001255,0.001255
108,66834.9,0.84508,0.58656,1.45019,0.75287,0.66702,0.73485,0.5479,1.02858,1.16456,1.80528,0.0011725,0.0011725,0.0011725
