epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.3921,2.27931,2.85012,2.74526,0.74506,0.72911,0.79308,0.51646,1.304,1.05486,2.32578,0.00332329,0.00332329,0.00332329
2,135.882,1.50765,1.38186,2.05436,0.80254,0.71646,0.80061,0.55312,1.19839,0.95534,2.28406,0.00660171,0.00660171,0.00660171
3,204.372,1.48161,1.33507,2.03599,0.81251,0.71315,0.78913,0.49959,1.3434,1.04658,2.2331,0.00982513,0.00982513,0.00982513
4,275.345,1.52855,1.3875,2.08747,0.78715,0.70219,0.74215,0.45034,1.38081,1.13012,2.13911,0.0097525,0.0097525,0.0097525
5,340.403,1.48181,1.31942,2.05277,0.81973,0.72405,0.80434,0.52713,1.29049,1.01161,2.16231,0.00967,0.00967,0.00967
6,405.564,1.43086,1.2596,2.00435,0.82546,0.68861,0.77997,0.53905,1.20696,1.00334,2.07078,0.0095875,0.0095875,0.0095875
7,471.711,1.39681,1.2149,2.00316,0.86603,0.70127,0.79887,0.54228,1.23676,0.9771,2.19632,0.009505,0.009505,0.009505
8,538.352,1.36391,1.17773,1.95237,0.78034,0.76203,0.80699,0.55382,1.21599,0.95007,2.09518,0.0094225,0.0094225,0.0094225
9,604.937,1.33241,1.12568,1.94425,0.8582,0.70886,0.8154,0.55444,1.24357,1.00245,2.06359,0.00934,0.00934,0.00934
10,671.802,1.30896,1.10305,1.91657,0.83297,0.76709,0.83117,0.5868,1.17472,0.90004,2.10648,0.0092575,0.0092575,0.0092575
11,738.381,1.28519,1.07768,1.89216,0.84853,0.73418,0.85184,0.60065,1.16798,0.92471,2.14212,0.009175,0.009175,0.009175
12,805.431,1.27088,1.05131,1.88371,0.8382,0.76709,0.83757,0.58763,1.18538,0.90007,2.04415,0.0090925,0.0090925,0.0090925
13,873.573,1.25742,1.03611,1.86292,0.81881,0.74177,0.81233,0.57083,1.19818,0.96807,2.11727,0.00901,0.00901,0.00901
14,940.655,1.24897,1.02142,1.86268,0.84797,0.77662,0.84082,0.59896,1.12102,0.87124,2.01699,0.0089275,0.0089275,0.0089275
15,1012.72,1.21232,0.98236,1.83681,0.81374,0.76317,0.82881,0.5804,1.17031,0.86496,2.07276,0.008845,0.008845,0.008845
16,1079.23,1.20296,0.96818,1.81837,0.85076,0.75696,0.84863,0.60709,1.1362,0.91793,2.08095,0.0087625,0.0087625,0.0087625
17,1146.37,1.18131,0.94897,1.80643,0.84079,0.73533,0.82695,0.59669,1.14207,0.90535,2.09398,0.00868,0.00868,0.00868
18,1213.15,1.17579,0.93783,1.80139,0.82899,0.76456,0.83549,0.59189,1.16802,0.9356,2.09961,0.0085975,0.0085975,0.0085975
19,1281.06,1.14664,0.92369,1.78802,0.86631,0.71646,0.83291,0.59836,1.14284,0.92805,2.08073,0.008515,0.008515,0.008515
20,1348.19,1.15875,0.91331,1.78052,0.83718,0.76203,0.83731,0.60535,1.13529,0.88501,2.06225,0.0084325,0.0084325,0.0084325
21,1418.3,1.13493,0.89239,1.7536,0.85735,0.73418,0.84635,0.61513,1.10184,0.90195,2.02102,0.00835,0.00835,0.00835
22,1485.06,1.12506,0.88703,1.76142,0.84604,0.7443,0.83442,0.60517,1.123,0.88684,2.04912,0.0082675,0.0082675,0.0082675
23,1552.65,1.11121,0.86666,1.73562,0.79446,0.77215,0.83848,0.61487,1.07386,0.89773,2.0256,0.008185,0.008185,0.008185
24,1618.57,1.09517,0.84922,1.72974,0.85347,0.74177,0.83144,0.60343,1.08255,0.91114,1.99924,0.0081025,0.0081025,0.0081025
25,1685.22,1.08442,0.83529,1.71721,0.86119,0.75392,0.83907,0.61622,1.09513,0.91861,2.05019,0.00802,0.00802,0.00802
26,1751.98,1.08531,0.84011,1.71982,0.84011,0.77154,0.84961,0.6141,1.09872,0.82712,2.10445,0.0079375,0.0079375,0.0079375
27,1820.41,1.07437,0.81788,1.70084,0.84979,0.74477,0.83994,0.61523,1.10681,0.9097,2.03428,0.007855,0.007855,0.007855
28,1887.07,1.06254,0.81756,1.6994,0.84799,0.75443,0.84757,0.61879,1.108,0.84912,2.02453,0.0077725,0.0077725,0.0077725
29,1953.99,1.05066,0.80486,1.68539,0.83773,0.77113,0.84509,0.61435,1.13304,0.88365,2.0775,0.00769,0.00769,0.00769
30,2025.62,1.0413,0.7955,1.68032,0.85866,0.7519,0.83671,0.6196,1.06477,0.89893,2.03454,0.0076075,0.0076075,0.0076075
31,2102.69,1.03099,0.77818,1.67214,0.86928,0.75762,0.85489,0.63256,1.08655,0.86161,2.05088,0.007525,0.007525,0.007525
32,2170.52,1.02694,0.77327,1.6678,0.84632,0.79241,0.86159,0.63903,1.05578,0.85109,1.9851,0.0074425,0.0074425,0.0074425
33,2237.27,1.01678,0.76013,1.64493,0.86507,0.76284,0.84098,0.62617,1.05981,0.86663,2.03843,0.00736,0.00736,0.00736
34,2304.08,1.01328,0.76351,1.64013,0.86846,0.75218,0.85196,0.63765,1.04925,0.87288,2.02866,0.0072775,0.0072775,0.0072775
35,2370.73,1.00316,0.75277,1.65105,0.83331,0.79733,0.84869,0.63718,1.04847,0.87825,1.99815,0.007195,0.007195,0.007195
36,2437.92,0.99878,0.74771,1.63646,0.82251,0.78228,0.84542,0.62696,1.05791,0.86354,2.02342,0.0071125,0.0071125,0.0071125
37,2504.27,0.98208,0.72667,1.6213,0.84725,0.77468,0.84525,0.63446,1.05334,0.85891,2.02954,0.00703,0.00703,0.00703
38,2575.05,0.98108,0.73327,1.61826,0.82605,0.77215,0.84047,0.63062,1.04596,0.88393,2.02058,0.0069475,0.0069475,0.0069475
39,2642.05,0.97405,0.72817,1.60559,0.84531,0.77472,0.8448,0.62943,1.04028,0.84574,1.99757,0.006865,0.006865,0.006865
40,2711.72,0.96465,0.71162,1.60366,0.82662,0.75949,0.84302,0.63786,1.04199,0.86076,2.01345,0.0067825,0.0067825,0.0067825
41,2776.95,0.95627,0.70649,1.59865,0.84758,0.7602,0.84282,0.61992,1.059,0.9046,2.03565,0.0067,0.0067,0.0067
42,2842.4,0.95077,0.70813,1.58585,0.86237,0.7519,0.84551,0.62799,1.06647,0.88224,2.03481,0.0066175,0.0066175,0.0066175
43,2907.98,0.95676,0.71536,1.59997,0.8462,0.76609,0.83998,0.62584,1.05599,0.8894,2.00631,0.006535,0.006535,0.006535
44,2973.45,0.93263,0.68692,1.5755,0.85296,0.73924,0.82742,0.62338,1.04618,0.88654,2.01921,0.0064525,0.0064525,0.0064525
45,3038.7,0.92903,0.68433,1.57748,0.83644,0.77722,0.85711,0.65133,1.03456,0.88737,2.01732,0.00637,0.00637,0.00637
46,3103.84,0.92561,0.6767,1.57203,0.86294,0.73924,0.83872,0.63828,1.02778,0.90116,2.01144,0.0062875,0.0062875,0.0062875
47,3169.49,0.92146,0.674,1.56652,0.8795,0.73911,0.82982,0.63171,1.03651,0.90289,2.00772,0.006205,0.006205,0.006205
48,3234.93,0.92342,0.68034,1.57612,0.82126,0.75608,0.82564,0.62326,1.03793,0.904,2.00807,0.0061225,0.0061225,0.0061225
49,3300.2,0.90693,0.66435,1.55078,0.84528,0.77975,0.84348,0.63432,1.02088,0.84717,2.00489,0.00604,0.00604,0.00604
50,3365.54,0.89544,0.65498,1.55921,0.8273,0.75443,0.82605,0.6266,1.03786,0.90719,2.03134,0.0059575,0.0059575,0.0059575
51,3430.71,0.89351,0.65194,1.55254,0.81293,0.75696,0.82435,0.62793,1.02016,0.93172,2.01672,0.005875,0.005875,0.005875
52,3495.94,0.89437,0.65447,1.54159,0.84642,0.75346,0.83085,0.62903,1.01915,0.8947,2.02185,0.0057925,0.0057925,0.0057925
53,3561.03,0.89592,0.65189,1.5484,0.83856,0.75949,0.83774,0.63906,1.01838,0.85157,2.00907,0.00571,0.00571,0.00571
54,3630.85,0.88505,0.64076,1.53694,0.86833,0.73924,0.8372,0.63536,1.01527,0.8714,2.02443,0.0056275,0.0056275,0.0056275
55,3699.83,0.87085,0.63719,1.52511,0.87267,0.74606,0.83643,0.63721,1.02531,0.9021,2.02719,0.005545,0.005545,0.005545
56,3772.52,0.86758,0.62606,1.53077,0.86698,0.74684,0.83916,0.64124,1.01457,0.90691,2.01795,0.0054625,0.0054625,0.0054625
57,3842.45,0.86795,0.62814,1.52122,0.8707,0.73924,0.84034,0.64473,1.01601,0.87873,2.03137,0.00538,0.00538,0.00538
58,3908.32,0.85026,0.62037,1.51698,0.84954,0.76203,0.84965,0.64373,1.00575,0.85861,2.03901,0.0052975,0.0052975,0.0052975
59,3974.22,0.86457,0.62634,1.51323,0.84453,0.75949,0.83833,0.64098,1.00632,0.90597,2.02458,0.005215,0.005215,0.005215
60,4040.76,0.84113,0.60762,1.51049,0.88643,0.73418,0.84152,0.64325,1.00338,0.89024,2.01229,0.0051325,0.0051325,0.0051325
61,4108.52,0.84255,0.61122,1.49702,0.87867,0.72405,0.82559,0.63502,1.00125,0.91795,1.98976,0.00505,0.00505,0.00505
62,4175.35,0.83545,0.59493,1.49353,0.88797,0.7224,0.83161,0.6367,1.01702,0.94994,2.0154,0.0049675,0.0049675,0.0049675
63,4242.04,0.83224,0.59672,1.48678,0.84675,0.73924,0.83048,0.63406,1.01673,0.96235,2.0139,0.004885,0.004885,0.004885
64,4308.93,0.82328,0.59752,1.48383,0.84204,0.74228,0.82354,0.63054,1.01936,0.98834,2.0225,0.0048025,0.0048025,0.0048025
65,4374.31,0.82711,0.59546,1.49295,0.89318,0.72152,0.82731,0.63293,1.02247,0.96972,2.02499,0.00472,0.00472,0.00472
66,4438.61,0.82184,0.59134,1.4782,0.84098,0.74937,0.83395,0.63729,1.01925,0.9414,2.03867,0.0046375,0.0046375,0.0046375
67,4502.53,0.81218,0.5864,1.47252,0.8801,0.72658,0.83807,0.64099,1.02337,0.95156,2.0498,0.004555,0.004555,0.004555
68,4566.53,0.80967,0.58721,1.47799,0.86001,0.73165,0.83294,0.63896,1.01995,0.95199,2.05333,0.0044725,0.0044725,0.0044725
69,4633.3,0.80161,0.57641,1.46499,0.85218,0.74436,0.83567,0.64367,1.01341,0.93427,2.04702,0.00439,0.00439,0.00439
70,4703.58,0.79581,0.56969,1.46359,0.81075,0.78481,0.84068,0.64468,1.01503,0.92362,2.04722,0.0043075,0.0043075,0.0043075
71,4768.75,0.78972,0.56448,1.46885,0.89531,0.71447,0.84153,0.64568,1.01587,0.92833,2.04015,0.004225,0.004225,0.004225
72,4835.99,0.79126,0.5672,1.45664,0.89306,0.7188,0.83944,0.64514,1.00163,0.92333,2.02153,0.0041425,0.0041425,0.0041425
