epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9764,2.10537,3.21961,2.42516,0.39169,0.42775,0.34513,0.16527,1.80011,1.85607,2.24512,0.000661905,0.000661905,0.000661905
2,56.4219,1.91267,1.97874,2.26253,0.43588,0.56069,0.46612,0.23944,1.71003,1.78723,2.20012,0.00131761,0.00131761,0.00131761
3,83.2826,1.91864,1.96016,2.25735,0.43292,0.49133,0.43247,0.21354,1.85295,1.83151,2.28971,0.00196232,0.00196232,0.00196232
4,110.162,1.89362,1.92179,2.2754,0.44714,0.50289,0.45349,0.22312,1.91524,1.62111,2.25024,0.0019505,0.0019505,0.0019505
5,136.784,1.83862,1.82134,2.2466,0.45015,0.53179,0.45299,0.24408,1.69792,1.56953,2.21786,0.001934,0.001934,0.001934
6,163.545,1.784,1.75913,2.20072,0.44474,0.51855,0.45463,0.2346,1.65217,1.56083,2.19285,0.0019175,0.0019175,0.0019175
7,190.27,1.75745,1.69905,2.19049,0.54659,0.48555,0.53198,0.2936,1.63373,1.49867,2.20375,0.001901,0.001901,0.001901
8,217.162,1.70519,1.61904,2.17223,0.52495,0.57803,0.49459,0.28425,1.53425,1.49298,2.21248,0.0018845,0.0018845,0.0018845
9,243.943,1.68506,1.56615,2.14091,0.43729,0.53179,0.46618,0.27202,1.43736,1.51762,2.24839,0.001868,0.001868,0.001868
10,270.903,1.66185,1.53455,2.13016,0.4687,0.63231,0.51519,0.30425,1.47549,1.47075,2.21394,0.0018515,0.0018515,0.0018515
11,297.727,1.67251,1.54545,2.13808,0.47015,0.57958,0.47958,0.28345,1.47257,1.46422,2.2133,0.001835,0.001835,0.001835
12,324.485,1.64764,1.51102,2.10589,0.53774,0.6185,0.50729,0.28663,1.48868,1.39648,2.2062,0.0018185,0.0018185,0.0018185
13,351.315,1.60126,1.47347,2.08763,0.47509,0.63584,0.52983,0.29069,1.57645,1.45758,2.21753,0.001802,0.001802,0.001802
14,378.02,1.59751,1.44282,2.0601,0.48662,0.59538,0.51584,0.3025,1.49773,1.46267,2.24412,0.0017855,0.0017855,0.0017855
15,404.682,1.58614,1.43118,2.08332,0.49075,0.65896,0.54489,0.31714,1.49707,1.41047,2.2268,0.001769,0.001769,0.001769
16,431.385,1.55885,1.42801,2.04711,0.48053,0.63095,0.52005,0.30815,1.48897,1.54143,2.27083,0.0017525,0.0017525,0.0017525
17,458.288,1.53431,1.36564,2.04698,0.49067,0.61272,0.55422,0.33429,1.4339,1.43346,2.17809,0.001736,0.001736,0.001736
18,485.095,1.54845,1.33393,2.06486,0.53955,0.54913,0.53299,0.2946,1.55934,1.49032,2.33167,0.0017195,0.0017195,0.0017195
19,511.819,1.51668,1.3045,2.03461,0.50301,0.56069,0.50517,0.29586,1.52415,1.5458,2.18076,0.001703,0.001703,0.001703
20,539.347,1.51649,1.31817,2.03299,0.54952,0.64162,0.5957,0.34564,1.48219,1.38161,2.21857,0.0016865,0.0016865,0.0016865
21,566.612,1.50015,1.30531,2.03035,0.50829,0.57803,0.54155,0.33391,1.49021,1.50353,2.19005,0.00167,0.00167,0.00167
22,593.905,1.47924,1.27598,2.01306,0.50096,0.62088,0.54025,0.32623,1.50628,1.51195,2.17576,0.0016535,0.0016535,0.0016535
23,621.009,1.47457,1.25326,2.00574,0.51034,0.58382,0.50837,0.29529,1.51194,1.47184,2.15648,0.001637,0.001637,0.001637
24,648.216,1.495,1.26177,2.02529,0.52558,0.54335,0.53819,0.31127,1.49563,1.61664,2.15355,0.0016205,0.0016205,0.0016205
25,675.314,1.44093,1.2062,1.98927,0.62464,0.47399,0.55596,0.33437,1.4181,1.60347,2.15723,0.001604,0.001604,0.001604
26,702.408,1.44742,1.20161,2.00035,0.59793,0.52601,0.54837,0.32917,1.48069,1.55184,2.17696,0.0015875,0.0015875,0.0015875
27,729.606,1.40993,1.17325,1.95944,0.49067,0.52903,0.52435,0.30821,1.50593,1.76634,2.17322,0.001571,0.001571,0.001571
