epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8351,2.38982,3.56162,2.22492,0.79959,0.7489,0.80907,0.42468,1.49996,1.28806,1.41562,0.00332036,0.00332036,0.00332036
2,107.228,1.88896,1.66396,1.76297,0.82354,0.78125,0.82631,0.43434,1.53804,1.01864,1.39374,0.0065988,0.0065988,0.0065988
3,158.265,1.8264,1.52711,1.70678,0.74596,0.77615,0.83263,0.45328,1.48148,1.18708,1.36159,0.00982224,0.00982224,0.00982224
4,208.876,1.82836,1.51971,1.70846,0.80495,0.78175,0.8432,0.49566,1.39535,0.9712,1.32408,0.0097525,0.0097525,0.0097525
5,259.486,1.8219,1.45292,1.70208,0.79807,0.82379,0.85527,0.49561,1.41364,1.00709,1.34232,0.00967,0.00967,0.00967
6,310.157,1.76128,1.36349,1.65165,0.80628,0.81938,0.8498,0.44629,1.53161,0.99995,1.33119,0.0095875,0.0095875,0.0095875
7,360.248,1.74648,1.32159,1.65039,0.88203,0.73128,0.84412,0.49192,1.37752,0.96997,1.30353,0.009505,0.009505,0.009505
8,410.492,1.71282,1.2829,1.64961,0.85887,0.83106,0.86373,0.52656,1.37886,0.88249,1.3483,0.0094225,0.0094225,0.0094225
9,460.55,1.68656,1.24017,1.61142,0.81594,0.8202,0.85929,0.49343,1.39203,0.94572,1.3516,0.00934,0.00934,0.00934
10,511.331,1.68376,1.20971,1.62854,0.80339,0.79295,0.81842,0.46156,1.39742,1.02359,1.31863,0.0092575,0.0092575,0.0092575
11,562.795,1.65134,1.17387,1.60962,0.80569,0.85463,0.87066,0.51287,1.3773,0.892,1.35402,0.009175,0.009175,0.009175
12,613.792,1.63885,1.16553,1.59721,0.83845,0.8231,0.8665,0.49775,1.42088,0.92043,1.29921,0.0090925,0.0090925,0.0090925
13,665.272,1.63088,1.14432,1.59543,0.82624,0.85884,0.86782,0.4987,1.40002,0.89068,1.34938,0.00901,0.00901,0.00901
14,716.33,1.6092,1.13294,1.57624,0.80388,0.83063,0.85421,0.50568,1.34932,0.9229,1.32947,0.0089275,0.0089275,0.0089275
15,767.461,1.608,1.10993,1.56828,0.845,0.76851,0.85369,0.51038,1.35771,0.90884,1.3295,0.008845,0.008845,0.008845
16,818.851,1.59323,1.09831,1.57234,0.80923,0.80176,0.85265,0.5033,1.37454,0.95735,1.32715,0.0087625,0.0087625,0.0087625
17,870.213,1.56934,1.07052,1.55166,0.86192,0.81057,0.86019,0.52176,1.38635,1.03055,1.34019,0.00868,0.00868,0.00868
18,921.494,1.54109,1.0359,1.52839,0.8098,0.84405,0.85651,0.52055,1.3392,0.9172,1.3535,0.0085975,0.0085975,0.0085975
19,972.796,1.5567,1.04761,1.54723,0.79186,0.85474,0.85946,0.54262,1.33843,0.89625,1.35046,0.008515,0.008515,0.008515
20,1024.11,1.53478,1.02934,1.51749,0.8543,0.76211,0.84619,0.51989,1.32498,0.94909,1.30201,0.0084325,0.0084325,0.0084325
21,1075.48,1.53066,1.01686,1.52563,0.86289,0.80176,0.88523,0.54907,1.31366,0.83662,1.28528,0.00835,0.00835,0.00835
22,1126.99,1.51227,1.00141,1.5164,0.86677,0.80251,0.87915,0.53911,1.32285,0.91777,1.296,0.0082675,0.0082675,0.0082675
23,1177.47,1.49511,0.97731,1.50114,0.86282,0.80354,0.86528,0.53417,1.32285,0.84227,1.36039,0.008185,0.008185,0.008185
24,1228.69,1.49311,0.97494,1.5147,0.8324,0.80176,0.85871,0.53084,1.30783,0.88426,1.31224,0.0081025,0.0081025,0.0081025
25,1279.78,1.47585,0.96216,1.48253,0.85111,0.80582,0.84727,0.53493,1.29295,0.9001,1.30177,0.00802,0.00802,0.00802
26,1331.22,1.48007,0.95776,1.50437,0.85154,0.84581,0.88133,0.53977,1.32286,0.88676,1.33234,0.0079375,0.0079375,0.0079375
27,1382.58,1.47796,0.95355,1.48383,0.82893,0.83248,0.85267,0.53708,1.27785,0.88153,1.32054,0.007855,0.007855,0.007855
28,1433.58,1.45615,0.93476,1.47224,0.88426,0.77408,0.83957,0.52264,1.27648,0.97199,1.33878,0.0077725,0.0077725,0.0077725
29,1484.75,1.45586,0.9304,1.46563,0.83685,0.82819,0.8605,0.53225,1.29782,0.90948,1.34153,0.00769,0.00769,0.00769
30,1535.86,1.43556,0.91956,1.46452,0.80813,0.8535,0.85901,0.53614,1.33598,0.91714,1.31169,0.0076075,0.0076075,0.0076075
