epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5816,2.41123,3.30479,2.30444,0.8572,0.76958,0.85971,0.53401,1.33134,0.98065,1.72393,0.00332219,0.00332219,0.00332219
2,116.966,1.60865,1.32662,1.71615,0.90332,0.79858,0.90979,0.53622,1.29482,0.88272,1.91149,0.00660061,0.00660061,0.00660061
3,172.845,1.57949,1.26738,1.6663,0.85239,0.78969,0.88197,0.51459,1.39536,1.00763,1.80714,0.00982404,0.00982404,0.00982404
4,229.995,1.58954,1.29132,1.68579,0.89388,0.76923,0.8945,0.53826,1.45833,0.95618,1.97867,0.0097525,0.0097525,0.0097525
5,289.983,1.52713,1.20575,1.66217,0.88897,0.80769,0.90735,0.55737,1.34736,0.88805,2.05414,0.00967,0.00967,0.00967
6,350.26,1.49077,1.1537,1.63263,0.87437,0.80305,0.90447,0.56318,1.37419,0.87567,1.83479,0.0095875,0.0095875,0.0095875
7,409.826,1.4732,1.13379,1.62591,0.8661,0.88453,0.92417,0.59849,1.2816,0.86284,1.97281,0.009505,0.009505,0.009505
8,469.352,1.45045,1.09856,1.59962,0.89862,0.8334,0.92151,0.57814,1.34293,0.87679,1.73854,0.0094225,0.0094225,0.0094225
9,529.353,1.41574,1.07781,1.59396,0.90122,0.79915,0.8986,0.59454,1.24099,0.90015,1.82614,0.00934,0.00934,0.00934
10,587.447,1.41045,1.02916,1.5742,0.88439,0.81726,0.90673,0.60715,1.25879,0.8929,1.67842,0.0092575,0.0092575,0.0092575
11,647.101,1.3901,1.03816,1.55249,0.9038,0.84313,0.92538,0.62235,1.2834,0.84015,1.66842,0.009175,0.009175,0.009175
12,706.442,1.37326,1.00425,1.55761,0.85342,0.87082,0.91266,0.58106,1.24516,0.88833,1.8126,0.0090925,0.0090925,0.0090925
13,765.528,1.34721,0.98129,1.52985,0.8678,0.84188,0.91325,0.62119,1.14002,0.82187,1.87447,0.00901,0.00901,0.00901
14,824.971,1.33466,0.96466,1.5379,0.85363,0.85897,0.90458,0.60518,1.25327,0.86627,1.6674,0.0089275,0.0089275,0.0089275
15,883.654,1.31196,0.95324,1.52905,0.88427,0.87179,0.92723,0.64084,1.16679,0.77181,1.63299,0.008845,0.008845,0.008845
16,941.651,1.30229,0.92581,1.51479,0.86052,0.86325,0.90117,0.61841,1.23667,0.8421,1.69952,0.0087625,0.0087625,0.0087625
17,1001.64,1.29188,0.92511,1.50513,0.89316,0.86752,0.91208,0.63006,1.21501,0.81295,1.7185,0.00868,0.00868,0.00868
18,1060.98,1.27855,0.8931,1.49009,0.83661,0.87524,0.91618,0.63085,1.23128,0.81342,1.80993,0.0085975,0.0085975,0.0085975
19,1120.83,1.27808,0.89721,1.50012,0.92075,0.84411,0.91288,0.63381,1.14795,0.78545,1.75032,0.008515,0.008515,0.008515
