epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.496,1.80911,2.32075,2.40865,0.83165,0.74823,0.82593,0.5679,1.31471,0.96974,2.10186,0.00332151,0.00332151,0.00332151
2,111.399,1.24898,0.93667,1.82011,0.8735,0.80806,0.88211,0.61163,1.232,0.78772,1.9278,0.00659994,0.00659994,0.00659994
3,164.87,1.2363,0.90827,1.78711,0.91969,0.81216,0.89124,0.59179,1.33146,0.89839,1.99085,0.00982337,0.00982337,0.00982337
4,218.187,1.27271,0.9519,1.82695,0.87585,0.7766,0.87011,0.59968,1.29414,0.87774,1.94375,0.0097525,0.0097525,0.0097525
5,271.185,1.24025,0.91713,1.80992,0.94515,0.74468,0.85376,0.57959,1.29568,0.90807,2.04171,0.00967,0.00967,0.00967
6,324.588,1.21487,0.8763,1.77772,0.85275,0.84201,0.90164,0.61016,1.30437,0.85271,1.98574,0.0095875,0.0095875,0.0095875
7,377.634,1.17859,0.84823,1.76208,0.88129,0.78975,0.90548,0.61137,1.25641,0.86309,2.00779,0.009505,0.009505,0.009505
8,431.251,1.14467,0.81684,1.73044,0.91028,0.82753,0.90618,0.62802,1.23875,0.78984,2.04044,0.0094225,0.0094225,0.0094225
9,484.683,1.11468,0.78437,1.70115,0.9203,0.85988,0.927,0.64519,1.22443,0.82104,1.94619,0.00934,0.00934,0.00934
10,538.092,1.11089,0.77875,1.70576,0.93814,0.81206,0.91433,0.65034,1.20438,0.78552,1.89586,0.0092575,0.0092575,0.0092575
11,591.496,1.08196,0.75132,1.68159,0.87457,0.8617,0.89924,0.63792,1.207,0.82308,1.95378,0.009175,0.009175,0.009175
12,644.672,1.06277,0.73166,1.67239,0.94391,0.84043,0.92382,0.66891,1.18467,0.73561,1.97536,0.0090925,0.0090925,0.0090925
13,698.12,1.0496,0.71717,1.66134,0.90195,0.83688,0.90715,0.65714,1.16319,0.75089,1.90745,0.00901,0.00901,0.00901
14,751.474,1.04039,0.70899,1.65566,0.89495,0.82979,0.90275,0.65695,1.17309,0.74962,1.94687,0.0089275,0.0089275,0.0089275
15,804.899,1.0186,0.70323,1.6094,0.91974,0.81915,0.90129,0.66146,1.18802,0.78475,1.96493,0.008845,0.008845,0.008845
16,858.204,1.00776,0.69736,1.61511,0.8951,0.82979,0.89203,0.65105,1.15337,0.76024,1.96566,0.0087625,0.0087625,0.0087625
17,911.579,1.00272,0.68049,1.61039,0.92346,0.83333,0.90723,0.66647,1.14809,0.7929,1.89079,0.00868,0.00868,0.00868
18,964.687,0.98085,0.67096,1.59751,0.90587,0.81908,0.89556,0.65887,1.12804,0.8112,1.89122,0.0085975,0.0085975,0.0085975
19,1017.94,0.96664,0.65813,1.58078,0.92175,0.81915,0.89717,0.66336,1.14572,0.83344,1.9933,0.008515,0.008515,0.008515
20,1071.09,0.95429,0.6482,1.56729,0.92862,0.8156,0.91154,0.66027,1.15119,0.78803,1.98761,0.0084325,0.0084325,0.0084325
21,1124.33,0.9478,0.64021,1.56172,0.90986,0.86525,0.90666,0.67737,1.11118,0.79744,1.82774,0.00835,0.00835,0.00835
22,1177.9,0.93278,0.63827,1.56188,0.87045,0.85772,0.89897,0.65675,1.11842,0.76335,1.88569,0.0082675,0.0082675,0.0082675
23,1231.19,0.91127,0.62194,1.54368,0.85835,0.85951,0.89625,0.662,1.14152,0.77538,1.92821,0.008185,0.008185,0.008185
24,1284.34,0.91648,0.62616,1.54732,0.94038,0.83333,0.91771,0.66607,1.1533,0.82434,1.88128,0.0081025,0.0081025,0.0081025
25,1337.43,0.8935,0.60599,1.51894,0.87235,0.8482,0.90967,0.67716,1.10282,0.75283,1.85958,0.00802,0.00802,0.00802
26,1390.75,0.88914,0.60296,1.50769,0.88739,0.83832,0.91364,0.66943,1.12302,0.70832,1.8808,0.0079375,0.0079375,0.0079375
27,1443.85,0.87996,0.59879,1.50188,0.91723,0.83688,0.90101,0.66225,1.11061,0.71376,1.93605,0.007855,0.007855,0.007855
28,1497.39,0.87388,0.59001,1.49799,0.90651,0.85961,0.91562,0.66475,1.09584,0.70573,1.9054,0.0077725,0.0077725,0.0077725
29,1551.04,0.86763,0.58189,1.49873,0.90561,0.85054,0.91166,0.67318,1.07214,0.74955,1.85726,0.00769,0.00769,0.00769
30,1604.51,0.86066,0.58534,1.48466,0.93516,0.8227,0.90686,0.67505,1.11812,0.78583,1.93151,0.0076075,0.0076075,0.0076075
31,1657.81,0.84758,0.57213,1.49115,0.89893,0.85816,0.90253,0.67731,1.06807,0.80868,1.8871,0.007525,0.007525,0.007525
32,1710.99,0.84397,0.57486,1.49067,0.9089,0.83333,0.9116,0.68887,1.05746,0.77354,1.91774,0.0074425,0.0074425,0.0074425
33,1764.26,0.83008,0.56091,1.46718,0.89293,0.85764,0.91528,0.67535,1.12166,0.74609,1.87143,0.00736,0.00736,0.00736
34,1817.4,0.82868,0.55637,1.47568,0.92011,0.84043,0.9058,0.67741,1.09057,0.74569,1.87877,0.0072775,0.0072775,0.0072775
35,1870.8,0.82289,0.55827,1.46891,0.9306,0.83688,0.91064,0.67386,1.07215,0.72886,1.85934,0.007195,0.007195,0.007195
36,1924.17,0.81218,0.55148,1.46353,0.91695,0.85106,0.91814,0.68539,1.08459,0.73207,1.90772,0.0071125,0.0071125,0.0071125
37,1977.6,0.80133,0.54188,1.45458,0.93023,0.80851,0.89322,0.68137,1.05814,0.74812,1.88071,0.00703,0.00703,0.00703
38,2030.96,0.79819,0.53871,1.44602,0.91576,0.83688,0.89755,0.67172,1.08221,0.78595,1.8695,0.0069475,0.0069475,0.0069475
39,2084.08,0.79611,0.54731,1.44899,0.90711,0.86569,0.91014,0.69182,1.04783,0.74321,1.90034,0.006865,0.006865,0.006865
40,2137,0.78479,0.52685,1.43874,0.91383,0.8227,0.89338,0.67244,1.05458,0.74108,1.8861,0.0067825,0.0067825,0.0067825
41,2189.96,0.77749,0.52988,1.43075,0.91212,0.84656,0.9073,0.69075,1.06412,0.69936,1.90659,0.0067,0.0067,0.0067
42,2243.49,0.77122,0.5202,1.41459,0.91902,0.84518,0.91095,0.69441,1.04604,0.75012,1.86606,0.0066175,0.0066175,0.0066175
43,2296.94,0.75631,0.51586,1.42425,0.9089,0.85816,0.90225,0.68554,1.02793,0.78253,1.83653,0.006535,0.006535,0.006535
