epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.7799,1.84492,2.48296,2.39456,0.67711,0.6298,0.69634,0.47369,1.2307,1.11721,1.7589,0.00332295,0.00332295,0.00332295
2,125.883,1.4989,1.3714,2.02186,0.77814,0.6456,0.75816,0.52565,1.16879,1.10484,1.75753,0.00660137,0.00660137,0.00660137
3,186.641,1.45916,1.28288,1.99761,0.65102,0.7088,0.7223,0.49965,1.20775,1.11378,1.69365,0.00982479,0.00982479,0.00982479
4,247.112,1.48378,1.31331,2.03847,0.70067,0.65688,0.70215,0.46936,1.20324,1.10125,1.77184,0.0097525,0.0097525,0.0097525
5,307.332,1.46726,1.26464,2.02228,0.71388,0.69526,0.76668,0.52071,1.21748,1.02016,1.73876,0.00967,0.00967,0.00967
6,367.781,1.42298,1.20455,1.99597,0.70974,0.71783,0.77434,0.54092,1.12297,0.96655,1.70896,0.0095875,0.0095875,0.0095875
7,428.393,1.39421,1.14532,1.96083,0.80564,0.60818,0.76096,0.52858,1.17075,1.12457,1.74784,0.009505,0.009505,0.009505
8,489.103,1.35356,1.0942,1.94247,0.68795,0.74492,0.76718,0.53072,1.11416,1.02361,1.74203,0.0094225,0.0094225,0.0094225
9,550.235,1.34001,1.07085,1.91782,0.74641,0.64108,0.75283,0.53307,1.10719,1.04483,1.72481,0.00934,0.00934,0.00934
10,610.804,1.30529,1.03269,1.88821,0.78423,0.6456,0.74557,0.54109,1.08556,1.10508,1.69158,0.0092575,0.0092575,0.0092575
11,671.157,1.2929,1.0198,1.87558,0.75067,0.69074,0.77742,0.55229,1.12951,1.00438,1.68169,0.009175,0.009175,0.009175
12,731.778,1.27388,0.98837,1.87275,0.77331,0.67043,0.77462,0.56464,1.10771,0.99644,1.71858,0.0090925,0.0090925,0.0090925
13,792.136,1.26896,0.9744,1.84374,0.73787,0.65463,0.7605,0.542,1.12048,1.03461,1.70366,0.00901,0.00901,0.00901
14,852.928,1.23613,0.93566,1.83244,0.73892,0.72235,0.75235,0.53409,1.08829,1.10268,1.72485,0.0089275,0.0089275,0.0089275
15,913.465,1.2298,0.93583,1.81389,0.68903,0.71525,0.76,0.54808,1.09044,1.0562,1.75708,0.008845,0.008845,0.008845
16,974.149,1.19991,0.90368,1.79326,0.70008,0.74294,0.76098,0.56203,1.05192,1.06218,1.7069,0.0087625,0.0087625,0.0087625
17,1034.49,1.19241,0.88685,1.78567,0.73097,0.67946,0.77799,0.57366,1.06338,1.00101,1.70618,0.00868,0.00868,0.00868
18,1094.98,1.18452,0.86962,1.77837,0.73523,0.66366,0.7429,0.53707,1.1286,1.19865,1.7354,0.0085975,0.0085975,0.0085975
19,1155.4,1.17418,0.86055,1.76722,0.73539,0.71558,0.76438,0.57321,1.08471,1.03579,1.70782,0.008515,0.008515,0.008515
20,1215.98,1.16535,0.84041,1.76785,0.68954,0.70693,0.75684,0.54965,1.05826,1.09457,1.67516,0.0084325,0.0084325,0.0084325
21,1276.74,1.14849,0.82844,1.74639,0.72787,0.71332,0.76938,0.57743,1.05359,1.06052,1.70566,0.00835,0.00835,0.00835
22,1337.31,1.14024,0.81432,1.75345,0.7413,0.71106,0.76705,0.56798,1.06363,1.09302,1.73244,0.0082675,0.0082675,0.0082675
23,1397.61,1.12134,0.79443,1.71885,0.72416,0.72235,0.75748,0.57137,1.05744,1.04309,1.67473,0.008185,0.008185,0.008185
24,1457.92,1.10785,0.78811,1.71596,0.7504,0.65688,0.74209,0.55439,1.0403,1.09441,1.71008,0.0081025,0.0081025,0.0081025
25,1518.18,1.10743,0.78125,1.72046,0.71929,0.72304,0.75963,0.55801,1.04799,1.04154,1.66257,0.00802,0.00802,0.00802
26,1578.92,1.1033,0.77764,1.7127,0.71679,0.69701,0.74567,0.55116,1.10299,1.11637,1.74114,0.0079375,0.0079375,0.0079375
27,1639.53,1.08607,0.75999,1.68733,0.75774,0.72235,0.78325,0.59019,1.02094,1.02899,1.69371,0.007855,0.007855,0.007855
28,1700.14,1.08391,0.75648,1.69287,0.74008,0.72686,0.77554,0.58031,1.0425,1.0491,1.69145,0.0077725,0.0077725,0.0077725
29,1760.51,1.07494,0.75305,1.67915,0.77917,0.68496,0.76252,0.58609,1.03684,1.12112,1.72731,0.00769,0.00769,0.00769
30,1820.99,1.06142,0.73548,1.67949,0.66784,0.72165,0.74214,0.55392,1.07101,1.14633,1.71197,0.0076075,0.0076075,0.0076075
31,1881.41,1.05852,0.73333,1.6636,0.7072,0.72512,0.75544,0.57667,1.01628,1.07031,1.68566,0.007525,0.007525,0.007525
32,1942.26,1.04019,0.72264,1.66442,0.72289,0.68896,0.74581,0.5721,1.04299,1.19862,1.7181,0.0074425,0.0074425,0.0074425
33,2003.06,1.03572,0.71528,1.65553,0.7299,0.7246,0.76328,0.58033,1.04587,1.08961,1.70207,0.00736,0.00736,0.00736
34,2063.55,1.03061,0.70618,1.64794,0.77808,0.68849,0.77215,0.58493,1.03231,1.12038,1.67864,0.0072775,0.0072775,0.0072775
35,2124.03,1.03065,0.70452,1.64236,0.733,0.67547,0.74852,0.57606,1.02926,1.17829,1.7214,0.007195,0.007195,0.007195
36,2184.54,1.02614,0.69658,1.62644,0.74711,0.6869,0.74356,0.56977,1.06915,1.21592,1.75086,0.0071125,0.0071125,0.0071125
37,2244.63,1.01397,0.69334,1.62748,0.77175,0.70655,0.7644,0.58276,1.03555,1.08247,1.69994,0.00703,0.00703,0.00703
38,2305.56,0.99938,0.68437,1.61993,0.69316,0.71391,0.75445,0.57039,1.03697,1.15421,1.72755,0.0069475,0.0069475,0.0069475
39,2366.54,1.00732,0.68329,1.62168,0.76611,0.71783,0.76026,0.58622,1.03933,1.14972,1.73054,0.006865,0.006865,0.006865
40,2427.16,1.00013,0.6756,1.61305,0.74585,0.68896,0.75019,0.56415,1.0449,1.19295,1.7199,0.0067825,0.0067825,0.0067825
41,2487.54,0.98232,0.66646,1.59018,0.77202,0.65011,0.753,0.57523,1.02253,1.20602,1.72853,0.0067,0.0067,0.0067
42,2547.93,0.98176,0.66871,1.60236,0.74677,0.68623,0.73763,0.55746,1.05207,1.20384,1.7446,0.0066175,0.0066175,0.0066175
43,2608.51,0.97843,0.65907,1.59208,0.77349,0.6772,0.75884,0.58281,1.02815,1.14917,1.72953,0.006535,0.006535,0.006535
44,2669.16,0.96548,0.65342,1.58354,0.71129,0.68404,0.73311,0.57422,1.00817,1.19037,1.6989,0.0064525,0.0064525,0.0064525
45,2729.61,0.96517,0.6525,1.58836,0.78741,0.62707,0.73949,0.57229,1.01128,1.25668,1.70589,0.00637,0.00637,0.00637
46,2790.13,0.95233,0.63882,1.57671,0.75486,0.64108,0.74507,0.58076,1.01758,1.27252,1.70341,0.0062875,0.0062875,0.0062875
47,2850.43,0.95375,0.64521,1.57625,0.75811,0.69333,0.7502,0.57733,1.00685,1.17555,1.69617,0.006205,0.006205,0.006205
48,2910.88,0.94484,0.62677,1.55971,0.76051,0.66591,0.74381,0.57707,0.99826,1.20933,1.70095,0.0061225,0.0061225,0.0061225
49,2971.33,0.94057,0.62611,1.57263,0.80375,0.64108,0.75036,0.58107,1.02322,1.22207,1.72592,0.00604,0.00604,0.00604
50,3032.11,0.93841,0.6293,1.55852,0.74668,0.68534,0.74514,0.57684,1.02438,1.21696,1.71524,0.0059575,0.0059575,0.0059575
51,3092.66,0.92679,0.61755,1.55336,0.7339,0.71558,0.76004,0.5886,1.00473,1.17096,1.70842,0.005875,0.005875,0.005875
52,3152.94,0.9191,0.61071,1.54423,0.74565,0.6816,0.74039,0.56695,1.02775,1.20807,1.72874,0.0057925,0.0057925,0.0057925
53,3213.27,0.91668,0.60865,1.53121,0.76111,0.68623,0.73995,0.57036,1.01728,1.25569,1.73973,0.00571,0.00571,0.00571
54,3273.79,0.92065,0.61203,1.5432,0.74027,0.69752,0.75039,0.57443,1.0104,1.23471,1.72495,0.0056275,0.0056275,0.0056275
55,3334.24,0.91915,0.60904,1.54191,0.71626,0.72369,0.75554,0.57881,1.02055,1.229,1.72033,0.005545,0.005545,0.005545
56,3395.11,0.90759,0.60466,1.53416,0.73587,0.69977,0.74096,0.57527,1.0115,1.26765,1.72027,0.0054625,0.0054625,0.0054625
57,3455.81,0.89735,0.60137,1.52015,0.77829,0.6456,0.74995,0.58347,0.98294,1.27028,1.69312,0.00538,0.00538,0.00538
58,3516.21,0.89987,0.59868,1.5262,0.72432,0.693,0.74273,0.58372,0.98435,1.27018,1.68064,0.0052975,0.0052975,0.0052975
59,3576.34,0.89133,0.59462,1.51915,0.75789,0.65688,0.74619,0.5861,0.98454,1.30107,1.6771,0.005215,0.005215,0.005215
60,3636.76,0.88804,0.5862,1.50682,0.73992,0.67431,0.74377,0.58396,0.99779,1.30045,1.71192,0.0051325,0.0051325,0.0051325
61,3697.26,0.8871,0.58741,1.50037,0.74125,0.67899,0.73653,0.57684,0.9943,1.30931,1.68827,0.00505,0.00505,0.00505
