epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1672,1.6322,2.42392,1.88658,0.9309,0.93868,0.97302,0.79243,0.84815,0.72749,1.21552,0.00332222,0.00332222,0.00332222
2,118.768,1.19924,0.80666,1.49301,0.95721,0.94961,0.98252,0.7833,0.86414,0.59249,1.14666,0.00660065,0.00660065,0.00660065
3,175.59,1.188,0.75199,1.46029,0.91292,0.94811,0.96887,0.76251,0.93578,0.75578,1.23477,0.00982407,0.00982407,0.00982407
4,231.936,1.19335,0.77686,1.45039,0.92724,0.88679,0.95242,0.76785,0.87329,0.79338,1.20087,0.0097525,0.0097525,0.0097525
5,288.872,1.17642,0.75782,1.43414,0.95189,0.93322,0.98194,0.80405,0.83808,0.67351,1.24987,0.00967,0.00967,0.00967
6,345.656,1.13591,0.70786,1.40214,0.97841,0.92453,0.96655,0.79818,0.87051,0.79239,1.15897,0.0095875,0.0095875,0.0095875
7,402.274,1.12311,0.68863,1.40232,0.95635,0.93022,0.97254,0.7863,0.84333,0.65491,1.1804,0.009505,0.009505,0.009505
8,459.567,1.10858,0.6602,1.37936,0.97463,0.95283,0.9852,0.81121,0.80399,0.60008,1.1866,0.0094225,0.0094225,0.0094225
9,517.968,1.09109,0.65789,1.38083,0.95336,0.96226,0.98062,0.82593,0.78096,0.61005,1.14631,0.00934,0.00934,0.00934
10,575.106,1.07705,0.6368,1.37271,0.93517,0.95266,0.97799,0.7964,0.84037,0.64831,1.15995,0.0092575,0.0092575,0.0092575
11,633.047,1.07432,0.64145,1.357,0.9268,0.9717,0.97657,0.8204,0.77417,0.59572,1.1253,0.009175,0.009175,0.009175
12,690.535,1.06766,0.63533,1.35831,0.95116,0.95755,0.97583,0.81899,0.76553,0.67669,1.18171,0.0090925,0.0090925,0.0090925
13,748.357,1.04196,0.62533,1.34625,0.97827,0.94811,0.97965,0.8206,0.75835,0.5917,1.16234,0.00901,0.00901,0.00901
14,806.139,1.03736,0.61609,1.32839,0.95467,0.9434,0.97978,0.81557,0.78866,0.61517,1.1652,0.0089275,0.0089275,0.0089275
15,866.008,1.03418,0.60225,1.33707,0.94001,0.96085,0.97282,0.81766,0.7533,0.56891,1.11595,0.008845,0.008845,0.008845
16,930.176,1.03443,0.597,1.3296,0.98457,0.90323,0.96853,0.81664,0.7146,0.6521,1.11922,0.0087625,0.0087625,0.0087625
17,988.937,1.03582,0.59958,1.33328,0.97125,0.95623,0.98224,0.83289,0.74061,0.50011,1.11217,0.00868,0.00868,0.00868
18,1047.47,1.0149,0.58428,1.3316,0.96973,0.90678,0.98058,0.82626,0.77332,0.61942,1.16471,0.0085975,0.0085975,0.0085975
19,1109.33,1.00587,0.58358,1.32146,0.9558,0.94811,0.98392,0.82473,0.73073,0.58189,1.08035,0.008515,0.008515,0.008515
20,1170.76,1.00501,0.57399,1.31891,0.97095,0.94607,0.98145,0.8278,0.778,0.65653,1.24616,0.0084325,0.0084325,0.0084325
21,1228.37,1.00212,0.57388,1.31646,0.96556,0.98113,0.98859,0.84146,0.76053,0.64157,1.12224,0.00835,0.00835,0.00835
22,1285.58,0.99443,0.57052,1.30961,0.98814,0.9434,0.9857,0.84054,0.74251,0.63987,1.12252,0.0082675,0.0082675,0.0082675
23,1344.45,0.9907,0.56949,1.30264,0.97962,0.93396,0.98268,0.84747,0.70992,0.5703,1.1669,0.008185,0.008185,0.008185
24,1401.86,0.97952,0.56024,1.29962,0.97093,0.94537,0.98404,0.84354,0.73548,0.66475,1.19225,0.0081025,0.0081025,0.0081025
25,1459.37,0.9832,0.55517,1.30689,0.95869,0.94811,0.97954,0.8346,0.72417,0.55331,1.07458,0.00802,0.00802,0.00802
26,1516.74,0.97048,0.55036,1.29292,0.95147,0.95283,0.9839,0.84787,0.692,0.58013,1.11524,0.0079375,0.0079375,0.0079375
27,1574.27,0.96942,0.54267,1.29302,0.97124,0.95568,0.98913,0.84695,0.70597,0.45866,1.07744,0.007855,0.007855,0.007855
28,1631.61,0.96219,0.54333,1.29779,0.97537,0.96698,0.98728,0.84046,0.73979,0.52491,1.0634,0.0077725,0.0077725,0.0077725
29,1690.99,0.96591,0.54809,1.29686,0.95258,0.95755,0.98045,0.84854,0.75305,0.65971,1.11666,0.00769,0.00769,0.00769
30,1750.87,0.95957,0.53129,1.27584,0.98027,0.93762,0.98421,0.83981,0.74298,0.65567,1.0824,0.0076075,0.0076075,0.0076075
31,1811.62,0.95449,0.54062,1.27775,0.97533,0.93237,0.98475,0.84136,0.7543,0.62407,1.15521,0.007525,0.007525,0.007525
32,1871.9,0.95476,0.53549,1.28463,0.98471,0.93868,0.98076,0.84358,0.69815,0.5361,1.10645,0.0074425,0.0074425,0.0074425
33,1931.26,0.95299,0.53713,1.27998,0.96485,0.93396,0.98379,0.8457,0.73242,0.63867,1.153,0.00736,0.00736,0.00736
34,1990.96,0.95326,0.53403,1.28114,0.98029,0.93854,0.98429,0.84607,0.72256,0.58702,1.09064,0.0072775,0.0072775,0.0072775
35,2050.64,0.94438,0.52167,1.27048,0.97595,0.9569,0.98469,0.85558,0.70942,0.61924,1.17344,0.007195,0.007195,0.007195
36,2111.04,0.94375,0.53038,1.27897,0.98527,0.9467,0.9896,0.85148,0.70961,0.58271,1.11835,0.0071125,0.0071125,0.0071125
37,2170.72,0.93531,0.52202,1.2724,0.97114,0.95248,0.97818,0.84334,0.71274,0.59611,1.13668,0.00703,0.00703,0.00703
38,2228.42,0.94099,0.52058,1.26934,0.98505,0.93261,0.9869,0.84537,0.72192,0.59821,1.11897,0.0069475,0.0069475,0.0069475
39,2285.74,0.92607,0.51242,1.26302,0.96349,0.96226,0.9838,0.8542,0.69129,0.61244,1.11576,0.006865,0.006865,0.006865
40,2342.73,0.92505,0.51294,1.26793,0.97582,0.95192,0.98032,0.84229,0.74721,0.62725,1.11085,0.0067825,0.0067825,0.0067825
41,2401.47,0.91972,0.50688,1.26048,0.96594,0.93656,0.97791,0.84946,0.70604,0.64083,1.09224,0.0067,0.0067,0.0067
42,2458.96,0.91969,0.51198,1.26126,0.98509,0.93506,0.981,0.84717,0.65923,0.53809,1.0601,0.0066175,0.0066175,0.0066175
43,2516.24,0.91291,0.51014,1.25408,0.97545,0.93725,0.98418,0.85266,0.72536,0.75871,1.12092,0.006535,0.006535,0.006535
44,2573.06,0.9,0.49908,1.24368,0.96626,0.94562,0.98573,0.85459,0.68641,0.64695,1.12716,0.0064525,0.0064525,0.0064525
45,2630.19,0.9114,0.50534,1.25007,0.97536,0.93354,0.98303,0.85487,0.69011,0.59612,1.08731,0.00637,0.00637,0.00637
46,2687.4,0.90241,0.50289,1.24782,0.97572,0.92453,0.97759,0.84561,0.71795,0.6173,1.11422,0.0062875,0.0062875,0.0062875
47,2744.65,0.89787,0.49599,1.24767,0.97544,0.93665,0.9818,0.84537,0.71948,0.57914,1.07125,0.006205,0.006205,0.006205
48,2801.78,0.89625,0.49741,1.24516,0.94875,0.93396,0.97145,0.84478,0.71369,0.71138,1.11984,0.0061225,0.0061225,0.0061225
49,2859.33,0.89838,0.49574,1.24263,0.9706,0.93431,0.97507,0.85604,0.67727,0.59568,1.11593,0.00604,0.00604,0.00604
50,2916.41,0.89362,0.49652,1.24635,0.95503,0.94811,0.97605,0.8525,0.68096,0.62995,1.13483,0.0059575,0.0059575,0.0059575
51,2974.03,0.88861,0.49033,1.23306,0.95647,0.93291,0.97602,0.8439,0.68241,0.5857,1.15711,0.005875,0.005875,0.005875
52,3031.31,0.88306,0.48561,1.23817,0.97995,0.9434,0.97905,0.85415,0.67778,0.59,1.09508,0.0057925,0.0057925,0.0057925
53,3088.95,0.87482,0.48082,1.23621,0.985,0.92926,0.9805,0.85351,0.68259,0.59224,1.11248,0.00571,0.00571,0.00571
54,3145.97,0.87512,0.48341,1.22943,0.98521,0.94258,0.97696,0.85041,0.67503,0.57127,1.09745,0.0056275,0.0056275,0.0056275
