epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4312,1.79438,2.34859,2.21336,0.72042,0.78051,0.78873,0.55758,1.16519,0.92682,1.9185,0.00331944,0.00331944,0.00331944
2,101,1.50879,1.092,1.98634,0.79811,0.76763,0.82058,0.5943,1.14047,0.8706,1.88133,0.00659789,0.00659789,0.00659789
3,147.872,1.48077,1.05877,1.97485,0.71994,0.81066,0.80223,0.56548,1.14362,0.89507,1.84067,0.00982134,0.00982134,0.00982134
4,194.022,1.53012,1.10444,2.03117,0.78438,0.75519,0.81921,0.56055,1.18667,0.88449,2.02257,0.0097525,0.0097525,0.0097525
5,240.162,1.50895,1.05773,2.02513,0.77315,0.77178,0.83161,0.56855,1.18203,0.91147,1.89,0.00967,0.00967,0.00967
6,289.286,1.47276,1.02896,1.97961,0.71924,0.83976,0.82001,0.56143,1.21567,0.89529,1.92699,0.0095875,0.0095875,0.0095875
7,337.432,1.44353,0.98093,1.96601,0.8284,0.72614,0.83653,0.57867,1.22874,0.91659,1.95305,0.009505,0.009505,0.009505
8,386.419,1.43036,0.9737,1.95669,0.78039,0.75104,0.83094,0.59469,1.14789,0.89619,1.9394,0.0094225,0.0094225,0.0094225
9,435.105,1.41163,0.94226,1.94197,0.7518,0.8044,0.81479,0.56003,1.17666,0.86867,1.88419,0.00934,0.00934,0.00934
10,486.079,1.40115,0.93147,1.94251,0.71479,0.86313,0.78804,0.56024,1.12148,0.84797,1.84654,0.0092575,0.0092575,0.0092575
11,534.156,1.37754,0.90194,1.93651,0.79815,0.80913,0.84691,0.61062,1.13322,0.82618,1.88715,0.009175,0.009175,0.009175
12,582.834,1.35418,0.87956,1.89514,0.84738,0.7833,0.8572,0.6191,1.10097,0.81272,1.89587,0.0090925,0.0090925,0.0090925
13,630.78,1.33993,0.87559,1.88139,0.84041,0.78663,0.85343,0.59034,1.17136,0.8791,1.86466,0.00901,0.00901,0.00901
14,679.521,1.33423,0.86264,1.88707,0.7835,0.80083,0.85085,0.61554,1.11112,0.80018,1.89272,0.0089275,0.0089275,0.0089275
15,727.684,1.32348,0.84596,1.88516,0.7643,0.82988,0.84483,0.60914,1.11786,0.80391,1.86142,0.008845,0.008845,0.008845
16,776.646,1.30082,0.83319,1.84718,0.85479,0.73275,0.82589,0.59258,1.15013,0.91531,1.95213,0.0087625,0.0087625,0.0087625
17,824.872,1.28469,0.80852,1.86677,0.78959,0.80083,0.7852,0.56629,1.14348,0.88552,1.80179,0.00868,0.00868,0.00868
18,873.403,1.27229,0.80139,1.82794,0.82991,0.75104,0.8249,0.60232,1.09395,0.89167,1.94874,0.0085975,0.0085975,0.0085975
19,922.016,1.26538,0.79434,1.82836,0.77348,0.78838,0.83138,0.6063,1.07778,0.84186,1.84009,0.008515,0.008515,0.008515
20,970.419,1.23704,0.77192,1.80716,0.79322,0.79668,0.84795,0.60135,1.13114,0.89873,1.86752,0.0084325,0.0084325,0.0084325
21,1018.65,1.23904,0.76894,1.78636,0.88269,0.72614,0.85834,0.62668,1.10359,0.91556,1.90583,0.00835,0.00835,0.00835
22,1066.17,1.24045,0.76981,1.80688,0.82529,0.77178,0.85808,0.62702,1.13094,0.80844,1.88943,0.0082675,0.0082675,0.0082675
23,1114.23,1.22386,0.75476,1.78704,0.80175,0.80913,0.84596,0.62093,1.10269,0.87526,1.90475,0.008185,0.008185,0.008185
24,1161.95,1.20487,0.74301,1.79092,0.91899,0.70954,0.85206,0.63356,1.09733,0.926,1.90346,0.0081025,0.0081025,0.0081025
25,1209.62,1.21273,0.75687,1.79025,0.81179,0.77593,0.86443,0.63536,1.11032,0.82046,1.84042,0.00802,0.00802,0.00802
26,1257.19,1.19154,0.73668,1.75919,0.84826,0.76547,0.8543,0.62254,1.12826,0.88812,1.87172,0.0079375,0.0079375,0.0079375
27,1306,1.17588,0.72378,1.74793,0.90922,0.73444,0.84775,0.62298,1.09374,0.96989,1.76489,0.007855,0.007855,0.007855
