epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4696,2.15678,3.06383,2.29786,0.70027,0.69948,0.68552,0.4122,1.52422,1.10465,1.91135,0.0033179,0.0033179,0.0033179
2,87.39,1.64216,1.27446,1.88427,0.72482,0.8325,0.82244,0.50796,1.39473,0.93038,1.89133,0.00659636,0.00659636,0.00659636
3,129.82,1.58146,1.18197,1.84576,0.81622,0.75941,0.83248,0.52415,1.42177,0.95979,1.82867,0.00981982,0.00981982,0.00981982
4,171.778,1.62357,1.23879,1.86511,0.77031,0.75648,0.84924,0.52257,1.38418,1.02182,1.72172,0.0097525,0.0097525,0.0097525
5,213.967,1.58872,1.18879,1.83859,0.78881,0.81865,0.83489,0.54576,1.33154,0.94086,1.69409,0.00967,0.00967,0.00967
6,257.761,1.52526,1.12071,1.80453,0.79405,0.84456,0.87172,0.52893,1.33405,0.95112,1.7673,0.0095875,0.0095875,0.0095875
7,299.531,1.51715,1.09436,1.7747,0.83438,0.78312,0.8798,0.56556,1.30932,0.88362,1.77462,0.009505,0.009505,0.009505
8,341.151,1.49564,1.06018,1.77398,0.74523,0.78813,0.86403,0.58248,1.24708,0.8969,1.9973,0.0094225,0.0094225,0.0094225
9,382.741,1.45833,1.02412,1.76337,0.77842,0.81347,0.85535,0.56832,1.27373,0.89464,1.7408,0.00934,0.00934,0.00934
10,425.493,1.44321,0.99751,1.74325,0.85044,0.82494,0.88471,0.5948,1.26194,0.8776,1.76498,0.0092575,0.0092575,0.0092575
11,468.498,1.4187,0.99817,1.71769,0.82227,0.82383,0.85888,0.58182,1.24278,0.84886,1.71025,0.009175,0.009175,0.009175
12,511.879,1.40775,0.97636,1.69598,0.82671,0.7772,0.87747,0.58108,1.26479,0.90451,1.68372,0.0090925,0.0090925,0.0090925
13,554.356,1.3746,0.95219,1.68297,0.78055,0.84777,0.87681,0.59438,1.23474,0.85497,1.7062,0.00901,0.00901,0.00901
14,596.862,1.36538,0.9199,1.68382,0.90727,0.7513,0.85933,0.57967,1.24818,0.98475,1.61139,0.0089275,0.0089275,0.0089275
15,639.539,1.35084,0.92618,1.65416,0.79403,0.84974,0.87276,0.58852,1.27346,0.857,1.69448,0.008845,0.008845,0.008845
16,681.986,1.33156,0.89161,1.64097,0.8448,0.8179,0.88594,0.60205,1.24829,0.92186,1.57473,0.0087625,0.0087625,0.0087625
17,724.378,1.326,0.88313,1.64235,0.83073,0.79793,0.84434,0.58377,1.21976,0.86944,1.73393,0.00868,0.00868,0.00868
18,766.789,1.29915,0.86782,1.62191,0.8475,0.82383,0.88296,0.60647,1.19952,0.84597,1.84989,0.0085975,0.0085975,0.0085975
19,807.955,1.29915,0.85487,1.62074,0.85931,0.79275,0.87957,0.61049,1.21594,0.88609,1.73094,0.008515,0.008515,0.008515
20,850.378,1.28021,0.85481,1.5953,0.7911,0.80452,0.86686,0.59137,1.20149,0.90085,1.75875,0.0084325,0.0084325,0.0084325
