epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.12,1.607,2.38052,2.20856,0.71583,0.7931,0.77918,0.55867,1.10465,0.94494,1.83274,0.00331909,0.00331909,0.00331909
2,95.8328,1.11456,0.93225,1.74888,0.75239,0.7931,0.83278,0.60557,1.02908,0.86845,1.79865,0.00659754,0.00659754,0.00659754
3,140.088,1.07874,0.87463,1.70953,0.68124,0.79427,0.7831,0.55873,1.04014,0.99375,1.89811,0.00982099,0.00982099,0.00982099
4,184.2,1.12069,0.91083,1.7541,0.71353,0.70498,0.76984,0.56302,1.03968,1.02066,1.88124,0.0097525,0.0097525,0.0097525
5,228.404,1.09209,0.88438,1.73837,0.7626,0.77538,0.82984,0.59923,1.04832,0.91025,1.89396,0.00967,0.00967,0.00967
6,272.422,1.05538,0.83046,1.72318,0.72483,0.76628,0.78192,0.57848,1.0401,0.98017,1.85445,0.0095875,0.0095875,0.0095875
7,317.486,1.03474,0.78896,1.71395,0.79677,0.7433,0.81669,0.61251,1.03095,0.9523,1.88343,0.009505,0.009505,0.009505
8,361.884,1.00225,0.76136,1.69173,0.76038,0.7931,0.82473,0.60905,1.00493,0.88835,1.84289,0.0094225,0.0094225,0.0094225
9,406.34,0.98158,0.74206,1.69129,0.75994,0.76628,0.80979,0.6152,1.00716,0.92032,1.84009,0.00934,0.00934,0.00934
10,451.125,0.95896,0.72324,1.65381,0.74382,0.7787,0.81754,0.61532,1.01316,1.01058,1.80887,0.0092575,0.0092575,0.0092575
11,496.24,0.93974,0.69123,1.62402,0.73792,0.70881,0.78493,0.5877,1.01783,1.03421,1.89073,0.009175,0.009175,0.009175
12,540.802,0.92224,0.68965,1.62711,0.73858,0.78544,0.8197,0.6159,1.03303,0.98302,1.87651,0.0090925,0.0090925,0.0090925
13,586.035,0.90314,0.66577,1.60457,0.73313,0.7433,0.78811,0.60042,0.96289,0.98892,1.79655,0.00901,0.00901,0.00901
14,630.603,0.88171,0.64658,1.60222,0.78262,0.75868,0.81288,0.6238,0.9562,1.05496,1.87021,0.0089275,0.0089275,0.0089275
15,675.403,0.87151,0.63724,1.58711,0.72386,0.74322,0.76514,0.58161,0.98939,1.06556,1.87282,0.008845,0.008845,0.008845
16,720.539,0.8551,0.6184,1.58825,0.76311,0.7318,0.7961,0.61047,1.00155,0.95686,1.92511,0.0087625,0.0087625,0.0087625
17,766.541,0.84474,0.629,1.5655,0.78068,0.74713,0.82474,0.64474,0.97567,0.99561,1.85017,0.00868,0.00868,0.00868
18,812.231,0.8307,0.60762,1.54607,0.78524,0.73563,0.82294,0.63232,0.98452,0.95384,1.86066,0.0085975,0.0085975,0.0085975
19,857.335,0.83319,0.61142,1.56333,0.68124,0.81992,0.79482,0.61518,0.99195,0.98703,1.84214,0.008515,0.008515,0.008515
20,902.375,0.81832,0.59831,1.53251,0.74887,0.79977,0.81812,0.63778,0.95039,0.92992,1.88832,0.0084325,0.0084325,0.0084325
21,947.47,0.80449,0.58318,1.5119,0.76525,0.7369,0.78526,0.6136,0.95498,1.01238,1.80291,0.00835,0.00835,0.00835
22,992.643,0.79844,0.58271,1.5337,0.81772,0.75628,0.82352,0.64509,0.9252,0.93702,1.77871,0.0082675,0.0082675,0.0082675
23,1037.46,0.78578,0.56656,1.52047,0.76147,0.79504,0.82305,0.64026,0.95515,1.0653,1.82349,0.008185,0.008185,0.008185
24,1082.8,0.77143,0.55482,1.52402,0.80515,0.74409,0.81537,0.63796,0.94595,1.03129,1.79814,0.0081025,0.0081025,0.0081025
25,1128.43,0.77922,0.57924,1.52364,0.78847,0.72837,0.79741,0.62074,0.9689,1.06695,1.96388,0.00802,0.00802,0.00802
26,1175.14,0.77544,0.55968,1.5074,0.79797,0.73563,0.80717,0.64079,0.94577,1.06853,1.87059,0.0079375,0.0079375,0.0079375
