epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.514,2.16471,2.44836,3.07106,0.6988,0.69737,0.71489,0.31695,1.80515,1.33867,3.18119,0.00332203,0.00332203,0.00332203
2,118.103,1.77134,1.54369,2.72192,0.71925,0.73035,0.78399,0.38499,1.70927,1.24372,3.06792,0.00660046,0.00660046,0.00660046
3,174.168,1.74902,1.49021,2.7339,0.63285,0.69737,0.69103,0.31315,1.89177,1.33226,3.23913,0.00982389,0.00982389,0.00982389
4,229.686,1.79226,1.53617,2.81584,0.75871,0.74471,0.79317,0.34946,1.8921,1.24115,3.30043,0.0097525,0.0097525,0.0097525
5,285.563,1.75383,1.49422,2.77989,0.69404,0.72368,0.72855,0.32718,1.87285,1.24325,3.20694,0.00967,0.00967,0.00967
6,341.455,1.71643,1.44386,2.75193,0.76826,0.73246,0.80316,0.39785,1.66295,1.19632,3.15263,0.0095875,0.0095875,0.0095875
7,398.542,1.69406,1.41155,2.70004,0.78911,0.7385,0.8036,0.38464,1.71652,1.12341,3.10627,0.009505,0.009505,0.009505
8,454.29,1.66536,1.38052,2.68778,0.79239,0.77632,0.80632,0.3853,1.68012,1.19249,3.09158,0.0094225,0.0094225,0.0094225
9,509.979,1.6525,1.36504,2.65012,0.80446,0.79393,0.83983,0.41466,1.73431,1.083,3.00751,0.00934,0.00934,0.00934
10,565.452,1.60684,1.32582,2.61273,0.81207,0.77705,0.82152,0.39567,1.85415,1.13223,3.12347,0.0092575,0.0092575,0.0092575
11,621.515,1.5957,1.29322,2.60389,0.79992,0.7807,0.84231,0.4412,1.67703,1.04806,2.97821,0.009175,0.009175,0.009175
12,678.006,1.57837,1.26486,2.56959,0.78268,0.77399,0.83004,0.43458,1.65461,1.06596,3.01242,0.0090925,0.0090925,0.0090925
13,733.923,1.5558,1.25053,2.56481,0.74181,0.74123,0.79091,0.40832,1.64736,1.12342,3.02675,0.00901,0.00901,0.00901
14,789.823,1.54382,1.23643,2.53185,0.77219,0.78509,0.82995,0.43111,1.6702,1.11516,2.99456,0.0089275,0.0089275,0.0089275
15,845.909,1.53623,1.22205,2.53042,0.79667,0.75877,0.8012,0.42354,1.65564,1.0905,3.06516,0.008845,0.008845,0.008845
16,901.578,1.50346,1.19685,2.49855,0.78481,0.82456,0.83991,0.47262,1.55235,1.00135,3.20256,0.0087625,0.0087625,0.0087625
17,958.415,1.49698,1.1749,2.50346,0.80743,0.82757,0.86655,0.45363,1.66094,1.05906,3.10452,0.00868,0.00868,0.00868
